MMSI,IMO,船名,船长,船宽,载重吨,总吨,吃水
413481980," ""0"""," ""null"""," ""72"""," ""14"""," ""null"""," ""null"""," ""null"""
413508930," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413762777," ""0"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""3"""
413773326," ""null"""," ""null"""," ""50"""," ""11"""," ""null"""," ""null"""," ""null"""
413900338," ""null"""," ""南盐油15"""," ""null"""," ""null"""," """""," ""281"""," ""null"""
413900763," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413900949," ""null"""," """""," ""49"""," ""13"""," ""346"""," ""235"""," ""null"""
413901114," ""null"""," ""null"""," ""57"""," ""13"""," ""null"""," ""null"""," ""null"""
413901562," ""null"""," ""null"""," ""60"""," ""12"""," ""null"""," ""null"""," ""null"""
413901816," ""null"""," ""null"""," ""49"""," ""13"""," ""null"""," ""null"""," ""0"""
413903322," ""0"""," ""null"""," ""64"""," ""13"""," ""null"""," ""null"""," ""null"""
413906154," ""null"""," ""null"""," ""61"""," ""13"""," ""null"""," ""null"""," ""null"""
413906596," ""0"""," ""null"""," ""60"""," ""18"""," ""null"""," ""null"""," ""null"""
413906675," ""null"""," ""null"""," ""65"""," ""17"""," ""null"""," ""null"""," ""null"""
413906746," ""null"""," ""null"""," ""82"""," ""17"""," ""null"""," ""null"""," ""null"""
413906974," ""0"""," ""null"""," ""73"""," ""14"""," ""null"""," ""null"""," ""null"""
413950427," ""0"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
412501010," ""9343649"""," ""东桂6"""," ""65"""," ""12"""," ""1748.8"""," ""1063"""," ""4"""
413473370," ""null"""," ""null"""," ""68"""," ""13"""," ""null"""," ""null"""," ""null"""
413509550," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413510160," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413605195," ""0"""," ""null"""," ""40"""," ""8"""," ""null"""," ""null"""," ""0"""
413762515," ""0"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413772612," ""0"""," ""粤韶关货0939"""," ""null"""," ""null"""," """""," ""526"""," ""null"""
413773448," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413773463," ""0"""," ""null"""," ""50"""," ""16"""," ""null"""," ""null"""," ""null"""
413900952," ""4047147"""," """""," ""50"""," ""15"""," ""346"""," ""235"""," ""null"""
413901216," ""19"""," """""," ""50"""," ""14"""," ""1399"""," ""951"""," ""null"""
413901388," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413901435," ""0"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""0"""
413902537," ""0"""," ""null"""," ""49"""," ""12"""," ""null"""," ""null"""," ""null"""
413906184," ""888888"""," ""null"""," ""60"""," ""16"""," ""null"""," ""null"""," ""4.0999999"""
413906908," ""0"""," ""null"""," ""65"""," ""17"""," ""null"""," ""null"""," ""null"""
413907236," ""null"""," ""null"""," ""58"""," ""12"""," ""null"""," ""null"""," ""null"""
413977168," ""0"""," ""null"""," ""49"""," ""11"""," ""null"""," ""null"""," ""0"""
413980454," ""null"""," ""null"""," ""49"""," ""13"""," ""null"""," ""null"""," ""null"""
413984554," ""null"""," ""null"""," ""77"""," ""16"""," ""null"""," ""null"""," ""null"""
413998566," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413998719," ""null"""," ""null"""," ""67"""," ""14"""," ""null"""," ""null"""," ""null"""
413998988," ""null"""," ""null"""," ""57"""," ""11"""," ""null"""," ""null"""," ""null"""
412429620," ""0"""," ""松茂17"""," ""53"""," ""9"""," ""805"""," ""499"""," ""null"""
413468270," ""null"""," ""null"""," ""50"""," ""16"""," ""null"""," ""null"""," ""null"""
413468570," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413473770," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413487170," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413505080," ""0"""," ""null"""," ""48"""," ""13"""," ""null"""," ""null"""," ""null"""
413506960," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413507560," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413508550," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413509690," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413762735," ""0"""," ""null"""," ""50"""," ""16"""," ""null"""," ""null"""," ""null"""
413772518," ""null"""," ""粤韶关货1218"""," ""null"""," ""null"""," """""," ""593"""," ""null"""
413779055," ""null"""," ""null"""," ""62"""," ""13"""," ""null"""," ""null"""," ""null"""
413801621," ""201401482"""," """""," ""56"""," ""10"""," ""3487"""," ""2371"""," ""null"""
413854729," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413900381," ""0"""," ""粤韶关货1368"""," ""null"""," ""null"""," ""759"""," ""516"""," ""null"""
413901412," ""null"""," ""null"""," ""44"""," ""8"""," ""null"""," ""null"""," ""null"""
413902089," ""0"""," ""null"""," ""50"""," ""16"""," ""null"""," ""null"""," ""3.5"""
413902369," ""null"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413902462," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413902774," ""0"""," ""null"""," ""53"""," ""13"""," ""null"""," ""null"""," ""null"""
413904218," ""0"""," ""null"""," ""60"""," ""12"""," ""null"""," ""null"""," ""null"""
413906467," ""0"""," ""null"""," ""72"""," ""17"""," ""null"""," ""null"""," ""3.60000014"""
413906743," ""null"""," ""null"""," ""64"""," ""7"""," ""null"""," ""null"""," ""null"""
413906759," ""null"""," ""null"""," ""70"""," ""16"""," ""null"""," ""null"""," ""1.60000002"""
413906937," ""0"""," ""null"""," ""70"""," ""15"""," ""null"""," ""null"""," ""null"""
413906938," ""0"""," ""null"""," ""57"""," ""11"""," ""null"""," ""null"""," ""null"""
413907069," ""0"""," ""null"""," ""57"""," ""11"""," ""null"""," ""null"""," ""null"""
413971206," ""0"""," ""null"""," ""73"""," ""15"""," ""null"""," ""null"""," ""0"""
413972166," ""null"""," ""null"""," ""49"""," ""13"""," ""null"""," ""null"""," ""null"""
413977987," ""0"""," ""null"""," ""49"""," ""10"""," ""null"""," ""null"""," ""null"""
